1;2
1;3
1;4
1;18
2;1
2;3
2;15
2;27
3;1
3;5
3;16
3;27
4;1
4;8
4;19
4;24
5;12
6;30
7;20
8;12
9;23
10;5
11;14
12;28
13;8
14;16
15;4
16;20
17;11
18;24
19;30
20;28
21;22
22;29
23;6
24;27
25;2
26;36
27;4
28;12
29;8
30;13
1;22
2;45
3;18
4;27
5;25
6;41
7;30
8;32
9;38
10;7
11;29
12;27
13;28
14;1
15;25
16;26
17;22
18;11
19;12
20;25
21;27
22;6
23;14
24;19
25;16
26;22
27;2
29;12
30;12
2;18
3;1
4;9
5;28
6;13
7;3
8;18
9;13
10;25
11;20
12;3
13;20
14;20
15;15
16;5
17;13
18;15
19;12
20;16
21;28
22;12
23;12
24;17
25;22
26;20
27;1
28;23
29;10
30;10
